# 95.0% CI bounds on <sigma v>.
# Columns: m_DM (GeV), <sigma v> (cm^3/s).
1.000000000000000000e+01 2.233333382523749666e-38
2.154434690031883193e+01 1.319544559597547584e-38
4.641588833612777165e+01 2.349506478309118549e-38
1.000000000000000000e+02 6.082106513004544558e-38
2.154434690031882269e+02 3.468838592712594225e-37
4.641588833612777307e+02 2.190585307096668837e-36
1.000000000000000000e+03 1.592450732403959015e-35
2.154434690031882383e+03 1.313145143181769493e-34
4.641588833612777307e+03 1.142466552863125006e-33
1.000000000000000000e+04 9.293777988865757078e-33
