# 95.0% CI bounds on <sigma v>.
# Columns: m_DM (GeV), <sigma v> (cm^3/s).
1.000000000000000000e+01 4.848990278319040161e-38
2.154434690031883193e+01 2.995305478466219849e-38
4.641588833612777165e+01 4.953954565678819226e-38
1.000000000000000000e+02 1.471319596679086579e-37
2.154434690031882269e+02 7.978791021337346895e-37
4.641588833612777307e+02 5.138349017527437531e-36
1.000000000000000000e+03 3.527694047747255103e-35
2.154434690031882383e+03 2.881455714178242412e-34
4.641588833612777307e+03 2.608456796917575422e-33
1.000000000000000000e+04 2.236263976331328957e-32
