# 95.0% CI bounds on <sigma v>.
# Columns: m_DM (GeV), <sigma v> (cm^3/s).
1.000000000000000000e+01 6.336445210880170541e-29
2.154434690031883193e+01 3.754798945219137326e-29
4.641588833612777165e+01 6.588628986348909271e-29
1.000000000000000000e+02 1.706262058866996605e-28
2.154434690031882269e+02 9.713395319218001661e-28
4.641588833612777307e+02 6.037343245474247760e-27
1.000000000000000000e+03 3.442384287777423896e-26
2.154434690031882383e+03 4.749371050941088368e-26
4.641588833612777307e+03 5.360155517072301264e-26
1.000000000000000000e+04 5.922717098514182649e-26
