# 95.0% CI bounds on <sigma v>.
# Columns: m_DM (GeV), <sigma v> (cm^3/s).
1.000000000000000000e+01 2.308508968872116731e-33
2.154434690031883193e+01 1.376169906444162000e-33
4.641588833612777165e+01 2.425996474268516120e-33
1.000000000000000000e+02 6.373534335903765320e-33
2.154434690031882269e+02 3.557212838708076172e-32
4.641588833612777307e+02 2.263765853861901184e-31
1.000000000000000000e+03 1.596233253605627384e-30
2.154434690031882383e+03 1.323637030799666803e-29
4.641588833612777307e+03 1.103537841661571604e-28
1.000000000000000000e+04 8.458909765025859596e-28
