## Posterior distribution for f, given N = 90.0 radio-detected PBHs. PBH Mass: 100M_sun
#M_sunPrior: jeffreys
## Columns: f, P(f|N)
1e-07	 2.26495627016e-36
1.01392540756e-07	 2.28442313505e-36
1.02804473209e-07	 2.30409805078e-36
1.04236067398e-07	 2.32398409035e-36
1.05687597118e-07	 2.34408438786e-36
1.07159339982e-07	 2.36440213991e-36
1.08651577465e-07	 2.38494060721e-36
1.10164594963e-07	 2.40570311604e-36
1.11698681847e-07	 2.42669305994e-36
1.13254131515e-07	 2.44791390129e-36
1.14831241454e-07	 2.46936917302e-36
1.16430313292e-07	 2.49106248035e-36
1.18051652857e-07	 2.5129975026e-36
1.19695570236e-07	 2.53517799497e-36
1.21362379834e-07	 2.55760779047e-36
1.23052400436e-07	 2.58029080187e-36
1.24765955263e-07	 2.60323102367e-36
1.2650337204e-07	 2.62643253415e-36
1.28264983053e-07	 2.64989949753e-36
1.30051125217e-07	 2.67363616607e-36
1.31862140139e-07	 2.69764688238e-36
1.33698374182e-07	 2.72193608167e-36
1.35560178533e-07	 2.74650829413e-36
1.37447909268e-07	 2.77136814738e-36
1.39361927422e-07	 2.79652036895e-36
1.4130259906e-07	 2.8219697889e-36
1.43270295341e-07	 2.84772134244e-36
1.45265392595e-07	 2.87378007266e-36
1.47288272391e-07	 2.90015113339e-36
1.49339321612e-07	 2.92683979205e-36
1.5141893253e-07	 2.95385143265e-36
1.53527502878e-07	 2.9811915589e-36
1.55665435927e-07	 3.0088657973e-36
1.57833140565e-07	 3.03687990048e-36
1.60031031374e-07	 3.06523975051e-36
1.62259528708e-07	 3.09395136237e-36
1.64519058775e-07	 3.12302088753e-36
1.6681005372e-07	 3.15245461762e-36
1.69132951703e-07	 3.1822589882e-36
1.71488196987e-07	 3.21244058271e-36
1.73876240022e-07	 3.24300613642e-36
1.76297537529e-07	 3.27396254066e-36
1.7875255259e-07	 3.30531684702e-36
1.81241754737e-07	 3.33707627184e-36
1.83765620039e-07	 3.36924820068e-36
1.86324631193e-07	 3.40184019307e-36
1.88919277621e-07	 3.43485998733e-36
1.91550055557e-07	 3.46831550554e-36
1.94217468149e-07	 3.50221485872e-36
1.96922025548e-07	 3.53656635212e-36
1.99664245011e-07	 3.57137849075e-36
2.02444650998e-07	 3.60665998497e-36
2.05263775271e-07	 3.64241975637e-36
2.08122156999e-07	 3.67866694381e-36
2.11020342857e-07	 3.71541090963e-36
2.13958887134e-07	 3.75266124609e-36
2.16938351839e-07	 3.79042778198e-36
2.19959306803e-07	 3.82872058951e-36
2.23022329797e-07	 3.86754999138e-36
2.26128006634e-07	 3.90692656808e-36
2.29276931287e-07	 3.94686116548e-36
2.32469705999e-07	 3.98736490263e-36
2.357069414e-07	 4.02844917979e-36
2.38989256623e-07	 4.07012568684e-36
2.42317279424e-07	 4.11240641187e-36
2.45691646298e-07	 4.15530365007e-36
2.49113002607e-07	 4.19883001299e-36
2.52582002696e-07	 4.24299843807e-36
2.56099310026e-07	 4.28782219845e-36
2.59665597293e-07	 4.33331491322e-36
2.63281546565e-07	 4.37949055795e-36
2.66947849403e-07	 4.42636347558e-36
2.70665207003e-07	 4.47394838774e-36
2.74434330323e-07	 4.52226040645e-36
2.78255940221e-07	 4.57131504617e-36
2.82130767594e-07	 4.62112823636e-36
2.86059553518e-07	 4.67171633442e-36
2.90043049386e-07	 4.72309613914e-36
2.94082017059e-07	 4.77528490457e-36
2.98177229002e-07	 4.82830035445e-36
3.02329468441e-07	 4.88216069708e-36
3.06539529506e-07	 4.93688464085e-36
3.10808217387e-07	 4.99249141017e-36
3.15136348487e-07	 5.0490007621e-36
3.19524750576e-07	 5.10643300357e-36
3.23974262953e-07	 5.16480900918e-36
3.28485736603e-07	 5.22415023967e-36
3.33060034362e-07	 5.28447876115e-36
3.37698031083e-07	 5.34581726493e-36
3.42400613797e-07	 5.40818908815e-36
3.47168681893e-07	 5.47161823519e-36
3.5200314728e-07	 5.53612939983e-36
3.56904934568e-07	 5.60174798832e-36
3.61874981241e-07	 5.66850014329e-36
3.6691423784e-07	 5.73641276852e-36
3.72023668141e-07	 5.80551355476e-36
3.77204249342e-07	 5.87583100642e-36
3.82456972247e-07	 5.94739446943e-36
3.87782841459e-07	 6.02023416003e-36
3.93182875571e-07	 6.09438119481e-36
3.98658107358e-07	 6.1698676218e-36
4.0420958398e-07	 6.24672645291e-36
4.09838367176e-07	 6.32499169751e-36
4.15545533472e-07	 6.40469839749e-36
4.21332174385e-07	 6.48588266355e-36
4.27199396631e-07	 6.56858171307e-36
4.33148322338e-07	 6.65283390942e-36
4.3918008926e-07	 6.73867880291e-36
4.45295850994e-07	 6.82615717334e-36
4.51496777204e-07	 6.9153110743e-36
4.57784053838e-07	 7.00618387931e-36
4.64158883361e-07	 7.09882032978e-36
4.70622484984e-07	 7.19326658504e-36
4.77176094894e-07	 7.28957027432e-36
4.83820966493e-07	 7.38778055099e-36
4.90558370637e-07	 7.48794814904e-36
4.97389595879e-07	 7.59012544189e-36
5.04315948717e-07	 7.69436650367e-36
5.11338753841e-07	 7.80072717319e-36
5.18459354389e-07	 7.9092651205e-36
5.25679112202e-07	 8.02003991638e-36
5.32999408084e-07	 8.13311310476e-36
5.40421642071e-07	 8.24854827828e-36
5.4794723369e-07	 8.36641115712e-36
5.5557762224e-07	 8.48676967127e-36
5.6331426706e-07	 8.60969404634e-36
5.71158647813e-07	 8.73525689321e-36
5.79112264764e-07	 8.86353330157e-36
5.87176639073e-07	 8.99460093763e-36
5.95353313081e-07	 9.12854014619e-36
