# p_gamma for M_PBH = 100.0 M_sun.
# Columns are: <sigma v> (cm^3/s), m_DM (GeV), p_gamma, MC error.
9.999999999999999530e-45 1.000000000000000000e+01 6.283943622411775989e-11 7.625936180852877307e-13
9.999999999999999530e-45 1.268961003167922108e+01 6.954933676188899740e-11 8.405871199452944721e-13
9.999999999999999530e-45 1.610262027560939302e+01 7.690943211072802947e-11 9.292135682638135646e-13
9.999999999999999530e-45 2.043359717856941771e+01 8.656807153206270271e-11 1.049669258487325531e-12
9.999999999999999530e-45 2.592943797404667094e+01 7.171315016492774210e-11 8.656660500045488146e-13
9.999999999999999530e-45 3.290344562312667875e+01 7.569082142409533340e-11 9.151789501932336560e-13
9.999999999999999530e-45 4.175318936560400118e+01 7.035230263244445278e-11 8.540699266387838067e-13
9.999999999999999530e-45 5.298316906283707084e+01 5.582119396375808176e-11 6.713044800400291786e-13
9.999999999999999530e-45 6.723357536499334230e+01 4.744127461247655147e-11 5.744270008853814240e-13
9.999999999999999530e-45 8.531678524172805567e+01 4.360532635247320244e-11 5.281913685426724873e-13
9.999999999999999530e-45 1.082636733874054045e+02 3.258487374466644565e-11 3.948056263537734737e-13
9.999999999999999530e-45 1.373823795883263870e+02 2.573910694070721028e-11 3.110466537707087871e-13
9.999999999999999530e-45 1.743328822199987371e+02 2.146263504650523006e-11 2.585084019521162173e-13
9.999999999999999530e-45 2.212216291070450325e+02 1.518718019929073022e-11 1.839949586540942660e-13
9.999999999999999530e-45 2.807216203941175650e+02 1.152340754076748203e-11 1.384274782023441692e-13
9.999999999999999530e-45 3.562247890262444230e+02 9.106518319481731618e-12 1.099220296290668619e-13
9.999999999999999530e-45 4.520353656360240393e+02 6.797421267824775518e-12 8.176007595827942715e-14
9.999999999999999530e-45 5.736152510448681596e+02 4.745121867892329167e-12 5.758229648040620257e-14
9.999999999999999530e-45 7.278953843983146044e+02 3.503655867691214748e-12 4.234963157348441671e-14
9.999999999999999530e-45 9.236708571873865594e+02 2.676939461106320417e-12 3.215732651911484806e-14
9.999999999999999530e-45 1.172102297533480623e+03 1.861677380195112986e-12 2.252952162479533774e-14
9.999999999999999530e-45 1.487352107293511835e+03 1.374506394200961770e-12 1.651228992912553818e-14
9.999999999999999530e-45 1.887391822135097755e+03 9.996631295008500499e-13 1.207945342351185853e-14
9.999999999999999530e-45 2.395026619987485901e+03 7.038340522320324350e-13 8.475138204501628666e-15
9.999999999999999530e-45 3.039195382313198024e+03 5.138577670462379755e-13 6.181006437981982259e-15
9.999999999999999530e-45 3.856620421163472201e+03 3.729163588602582972e-13 4.507739986338294007e-15
9.999999999999999530e-45 4.893900918477494088e+03 2.608560014620710399e-13 3.125865876366723214e-15
9.999999999999999530e-45 6.210169418915616006e+03 1.855116393049040276e-13 2.249994747372205752e-15
9.999999999999999530e-45 7.880462815669912743e+03 1.347358202629354527e-13 1.635534177979160633e-15
9.999999999999999530e-45 1.000000000000000000e+04 9.711109391880221345e-14 1.172406104429341142e-15
1.212305401337652748e-44 1.000000000000000000e+01 6.960896971990631049e-11 8.408610901464623207e-13
1.212305401337652748e-44 1.268961003167922108e+01 7.679040193702168638e-11 9.261351843972442889e-13
1.212305401337652748e-44 1.610262027560939302e+01 8.551585833941984394e-11 1.025468331289290390e-12
1.212305401337652748e-44 2.043359717856941771e+01 9.537109699759065158e-11 1.155896317509500750e-12
1.212305401337652748e-44 2.592943797404667094e+01 7.854333040392780670e-11 9.519440295535844214e-13
1.212305401337652748e-44 3.290344562312667875e+01 8.251184213319745433e-11 1.005253444889657532e-12
1.212305401337652748e-44 4.175318936560400118e+01 7.759232981585192882e-11 9.407516674753372530e-13
1.212305401337652748e-44 5.298316906283707084e+01 6.136966296467430497e-11 7.388779489985735753e-13
1.212305401337652748e-44 6.723357536499334230e+01 5.255106274998722718e-11 6.333750869715251560e-13
1.212305401337652748e-44 8.531678524172805567e+01 4.786624666592531576e-11 5.811430521645325715e-13
1.212305401337652748e-44 1.082636733874054045e+02 3.591717452982878992e-11 4.348141518136698948e-13
1.212305401337652748e-44 1.373823795883263870e+02 2.839258994963973281e-11 3.426274245872784283e-13
1.212305401337652748e-44 1.743328822199987371e+02 2.351535169026866128e-11 2.842993191722953632e-13
1.212305401337652748e-44 2.212216291070450325e+02 1.681524531819623670e-11 2.028550721200943512e-13
1.212305401337652748e-44 2.807216203941175650e+02 1.250814955639856224e-11 1.519016320818318845e-13
1.212305401337652748e-44 3.562247890262444230e+02 9.983727777487811768e-12 1.209061041671953519e-13
1.212305401337652748e-44 4.520353656360240393e+02 7.468747529561543471e-12 8.997779343413750607e-14
1.212305401337652748e-44 5.736152510448681596e+02 5.204489620867718231e-12 6.334219774617490980e-14
1.212305401337652748e-44 7.278953843983146044e+02 3.830603228288948167e-12 4.655066380079755878e-14
1.212305401337652748e-44 9.236708571873865594e+02 2.902815124450200711e-12 3.527903296105406917e-14
1.212305401337652748e-44 1.172102297533480623e+03 2.052177856246167848e-12 2.481291576380347320e-14
1.212305401337652748e-44 1.487352107293511835e+03 1.507298168947523705e-12 1.816359766050136605e-14
1.212305401337652748e-44 1.887391822135097755e+03 1.103038880776498950e-12 1.330679555825755458e-14
1.212305401337652748e-44 2.395026619987485901e+03 7.695848413440597719e-13 9.316199149799917614e-15
1.212305401337652748e-44 3.039195382313198024e+03 5.576907789069244469e-13 6.782350503205121509e-15
1.212305401337652748e-44 3.856620421163472201e+03 4.066667964436712454e-13 4.951834869293833562e-15
1.212305401337652748e-44 4.893900918477494088e+03 2.841660106061351618e-13 3.433118908038532721e-15
