# Posterior for <sigma v>.
# Columns: <sigma v> (cm^3/s), m_DM (GeV), posterior.
9.999999999999999744e-49 1.000000000000000000e+01 3.064777288086016963e+280
9.999999999999999744e-49 1.268961003167922108e+01 3.064777283759786882e+280
9.999999999999999744e-49 1.610262027560939302e+01 3.064777281316840630e+280
9.999999999999999744e-49 2.043359717856941771e+01 3.064777281268588289e+280
9.999999999999999744e-49 2.592943797404667094e+01 3.064777283517308752e+280
9.999999999999999744e-49 3.290344562312667875e+01 3.064777287251242117e+280
9.999999999999999744e-49 4.175318936560400118e+01 3.064777291461774359e+280
9.999999999999999744e-49 5.298316906283707084e+01 3.064777295261892059e+280
9.999999999999999744e-49 6.723357536499334230e+01 3.064777297915154124e+280
9.999999999999999744e-49 8.531678524172805567e+01 3.064777299025596807e+280
9.999999999999999744e-49 1.082636733874054045e+02 3.064777298682642678e+280
9.999999999999999744e-49 1.373823795883263870e+02 3.064777297389416182e+280
9.999999999999999744e-49 1.743328822199987371e+02 3.064777295915480002e+280
9.999999999999999744e-49 2.212216291070450325e+02 3.064777294915942815e+280
9.999999999999999744e-49 2.807216203941175650e+02 3.064777294541750580e+280
9.999999999999999744e-49 3.562247890262444230e+02 3.064777294484000610e+280
9.999999999999999744e-49 4.520353656360240393e+02 3.064777294321395429e+280
9.999999999999999744e-49 5.736152510448681596e+02 3.064777293873765450e+280
9.999999999999999744e-49 7.278953843983146044e+02 3.064777293407363506e+280
9.999999999999999744e-49 9.236708571873865594e+02 3.064777293531141425e+280
9.999999999999999744e-49 1.172102297533480623e+03 3.064777294833591874e+280
9.999999999999999744e-49 1.487352107293511835e+03 3.064777297552574760e+280
9.999999999999999744e-49 1.887391822135097755e+03 3.064777301485180838e+280
9.999999999999999744e-49 2.395026619987485901e+03 3.064777306189684507e+280
9.999999999999999744e-49 3.039195382313198024e+03 3.064777311367372760e+280
9.999999999999999744e-49 3.856620421163472201e+03 3.064777317028202307e+280
9.999999999999999744e-49 4.893900918477494088e+03 3.064777323138448180e+280
