# p_gamma for M_PBH = 0.5 M_sun.
# Columns are: m_DM (GeV), <sigma v> (cm^3/s), p_gamma.
1.000000000000000000e+01 1.000000000000000077e-43 3.522499848250687790e-13
1.000000000000000000e+01 1.175849554052153314e-43 3.825209920637543933e-13
1.000000000000000000e+01 1.382622173764647906e-43 4.131374139607674538e-13
1.000000000000000000e+01 1.625755666443806698e-43 4.459370233313799718e-13
1.000000000000000000e+01 1.911644075385711669e-43 4.887211825033296218e-13
1.000000000000000000e+01 2.247805833548729989e-43 5.307479303651436867e-13
1.000000000000000000e+01 2.643081486974102903e-43 5.683935394221564922e-13
1.000000000000000000e+01 3.107866187782001183e-43 6.139007918441714189e-13
1.000000000000000000e+01 3.654383070957232201e-43 6.747806891388097565e-13
1.000000000000000000e+01 4.297004704320870138e-43 7.178794429924358939e-13
1.000000000000000000e+01 5.052631065335700627e-43 7.905054728200808528e-13
1.000000000000000000e+01 5.941133984965039406e-43 8.628167321219111557e-13
1.000000000000000000e+01 6.985879746785235063e-43 9.307557993373691213e-13
1.000000000000000000e+01 8.214343584919388175e-43 1.005069709777707521e-12
1.000000000000000000e+01 9.658832241158630094e-43 1.094682428974815013e-12
1.000000000000000000e+01 1.135733358343112111e-42 1.185867490462000728e-12
1.000000000000000000e+01 1.335451562929902803e-42 1.273686721506403012e-12
1.000000000000000000e+01 1.570290124729377357e-42 1.388499792543809586e-12
1.000000000000000000e+01 1.846424942895538874e-42 1.517565024914539400e-12
1.000000000000000000e+01 2.171117945694491831e-42 1.627723427103889069e-12
1.000000000000000000e+01 2.552908068239537551e-42 1.765254068294985133e-12
1.000000000000000000e+01 3.001835813575604544e-42 1.912504689578966260e-12
1.000000000000000000e+01 3.529707302730657126e-42 2.092158361399109147e-12
1.000000000000000000e+01 4.150404757850472264e-42 2.271557028773771999e-12
1.000000000000000000e+01 4.880251583654413495e-42 2.427851767457015739e-12
1.000000000000000000e+01 5.738441648302357330e-42 2.679509828863897219e-12
1.000000000000000000e+01 6.747544053110741324e-42 2.889647894460498575e-12
1.000000000000000000e+01 7.934096665797524698e-42 3.098543164134580431e-12
1.000000000000000000e+01 9.329304026284695160e-42 3.399367731785158378e-12
1.000000000000000000e+01 1.096985797892381856e-41 3.682312271853862957e-12
1.000000000000000000e+01 1.289890261253302859e-41 4.027500195360061286e-12
1.000000000000000000e+01 1.516716888470911672e-41 4.363263886972135128e-12
1.000000000000000000e+01 1.783430876931920363e-41 4.700041285377595680e-12
1.000000000000000000e+01 2.097046401323239298e-41 5.090064880116602227e-12
1.000000000000000000e+01 2.465811075822604091e-41 5.543521605008651215e-12
1.000000000000000000e+01 2.899422853882869330e-41 5.951451977257852469e-12
1.000000000000000000e+01 3.409285069746793365e-41 6.551875363123895218e-12
1.000000000000000000e+01 4.008806328898497183e-41 7.022113733993858044e-12
1.000000000000000000e+01 4.713753134116748346e-41 7.599037491740907002e-12
1.000000000000000000e+01 5.542664520663118526e-41 8.134944460691663042e-12
1.000000000000000000e+01 6.517339604882419919e-41 9.026475184412436660e-12
1.000000000000000000e+01 7.663410868007431591e-41 9.616303056898020559e-12
1.000000000000000000e+01 9.011018251664963047e-41 1.047536304783510279e-11
1.000000000000000000e+01 1.059560179277623433e-40 1.149593624321094000e-11
1.000000000000000000e+01 1.245883364295013324e-40 1.255942169620793143e-11
1.000000000000000000e+01 1.464971398307287913e-40 1.352295810323099381e-11
1.000000000000000000e+01 1.722585965398783970e-40 1.450972021250637331e-11
1.000000000000000000e+01 2.025501939230658259e-40 1.562825069345401593e-11
1.000000000000000000e+01 2.381685551976141080e-40 1.722852531929501531e-11
1.000000000000000000e+01 2.800503894183648329e-40 1.852223136048571778e-11
1.000000000000000000e+01 3.292971255097161493e-40 2.012936756898219006e-11
1.000000000000000000e+01 3.872038781812557353e-40 2.174761896611096406e-11
1.000000000000000000e+01 4.552935074866938435e-40 2.357687155224063798e-11
1.000000000000000000e+01 5.353566677410696583e-40 2.551370899626482371e-11
1.000000000000000000e+01 6.294988990221939191e-40 2.808221908687133804e-11
1.000000000000000000e+01 7.401959996915682905e-40 2.989672004727934469e-11
1.000000000000000000e+01 8.703591361485183971e-40 3.268165780705303087e-11
1.000000000000000000e+01 1.023411402105452763e-39 3.576086215996775537e-11
1.000000000000000000e+01 1.203377840777585581e-39 3.835709400601943853e-11
1.000000000000000000e+01 1.414991297434567282e-39 4.180427319835474925e-11
1.000000000000000000e+01 1.663816886076113798e-39 4.461004479440078370e-11
1.000000000000000000e+01 1.956398343517072795e-39 4.871891714169216400e-11
1.000000000000000000e+01 2.300430119772921616e-39 5.319119240531633123e-11
1.000000000000000000e+01 2.704959730463131401e-39 5.754785350253091680e-11
1.000000000000000000e+01 3.180625692794106044e-39 6.278863302435611637e-11
1.000000000000000000e+01 3.739937302478771298e-39 6.798721794834130335e-11
1.000000000000000000e+01 4.397603609302748138e-39 7.416799281985523519e-11
1.000000000000000000e+01 5.170920242896776570e-39 8.012368422123118434e-11
1.000000000000000000e+01 6.080224261649426761e-39 8.657148441727495170e-11
1.000000000000000000e+01 7.149428986597561711e-39 9.335691929718863605e-11
1.000000000000000000e+01 8.406652885618281754e-39 1.014874392854372349e-10
1.000000000000000000e+01 9.884959046625666588e-39 1.120701406835505709e-10
1.000000000000000000e+01 1.162322468679858947e-38 1.206138398516034663e-10
1.000000000000000000e+01 1.366716356462010150e-38 1.294846705509823139e-10
1.000000000000000000e+01 1.607052818261638575e-38 1.409322322293368014e-10
1.000000000000000000e+01 1.889652339691203730e-38 1.530615875346598254e-10
