# p(sv | n_pbh, n_u) for m_dm=100, M_pbh=0.5, N_PBH=1 at LIGO 03.
# Columns are: <sigma v> (cm^3/s), p.
0.000000000000000000e+00 7.954707771757923858e+35
1.000000000000000008e-50 7.954707771757923858e+35
1.189016742441989860e-50 7.954707884196841151e+35
1.413760813807361267e-50 7.954707979199974158e+35
1.680985277425365402e-50 7.954708080567210260e+35
1.998719638657252707e-50 7.954708213104711149e+35
2.376511113811077527e-50 7.954708349248011860e+35
2.825711502920832547e-50 7.954708478107617149e+35
3.359818286283787984e-50 7.954708624405242468e+35
3.994880193954178495e-50 7.954708829397286240e+35
4.749979434661422495e-50 7.954708991925605470e+35
5.647805074067569460e-50 7.954709181856651566e+35
6.715334791115162088e-50 7.954709399435068200e+35
7.984645497739110711e-50 7.954709647812075767e+35
9.493877179275858524e-50 7.954709888149105348e+35
1.128837891684692862e-49 7.954710177882981162e+35
1.342207152716017374e-49 7.954710476265530293e+35
1.595906776404737557e-49 7.954710839759239125e+35
1.897559876521858093e-49 7.954711160402840865e+35
2.256230462970644415e-49 7.954711606286851309e+35
2.682695795279738111e-49 7.954711981299018521e+35
3.189770215466337909e-49 7.954712451341016345e+35
3.792690190732269570e-49 7.954713050677480051e+35
4.509572135676171927e-49 7.954713553755877274e+35
5.361956770568849806e-49 7.954714114579216897e+35
6.375456372456545492e-49 7.954714837765845275e+35
7.580524367559308297e-49 7.954715642987321265e+35
9.013370389517493734e-49 7.954716257894647702e+35
1.071704829896718076e-48 7.954717210192856838e+35
1.274274985703142556e-48 7.954718296979701121e+35
1.515134292476063748e-48 7.954719170222650109e+35
1.801520040802038555e-48 7.954720316196091161e+35
2.142037490358400518e-48 7.954721562911634722e+35
2.546918438974560925e-48 7.954722722751933065e+35
3.028328665574970228e-48 7.954724429562262506e+35
3.600733484985649692e-48 7.954726284546252613e+35
4.281332398719360803e-48 7.954727683801274324e+35
5.090575902036645203e-48 7.954729640635639944e+35
6.052779976193305978e-48 7.954731812209725064e+35
7.196856730011469749e-48 7.954734080779247630e+35
8.557183144939949911e-48 7.954736381287670964e+35
1.017463402747600053e-47 7.954738977672428934e+35
1.209781020688893921e-47 7.954742161265528814e+35
1.438449888287654256e-47 7.954744721246975851e+35
1.710341000337830931e-47 7.954748524174327074e+35
2.033624084686661890e-47 7.954752224945606292e+35
2.418013084525708054e-47 7.954756383673060659e+35
2.875058040944865755e-47 7.954761978434708198e+35
3.418492146175913427e-47 7.954766406505735019e+35
4.064644395709611189e-47 7.954771465012609089e+35
4.832930238571732625e-47 7.954777326619982031e+35
5.746434968715950367e-47 7.954783612452448476e+35
6.832607387157377786e-47 7.954789982184963002e+35
8.124084577862940641e-47 7.954797987934306320e+35
9.659672580093803534e-47 7.954806056556649647e+35
1.148551242423934437e-46 7.954815632132533432e+35
1.365646656794606861e-46 7.954824932757480238e+35
1.623776739188717628e-46 7.954837286841551195e+35
1.930697728883245568e-46 7.954847340717616589e+35
2.295631924236904824e-46 7.954861591550269118e+35
2.729544792402001789e-46 7.954876687800471309e+35
3.245474457411325561e-46 7.954887563119351892e+35
3.858923467029899441e-46 7.954904649659749363e+35
4.588324610100840512e-46 7.954924795818188731e+35
5.455594781168514207e-46 7.954941888648134935e+35
